Share_n: 9 | Epoch: 0/200 | new_acc: 32.3%
Share_n: 9 | Epoch: 1/200 | new_acc: 40.47%
Share_n: 9 | Epoch: 2/200 | new_acc: 44.39%
Share_n: 9 | Epoch: 3/200 | new_acc: 24.26%
Share_n: 9 | Epoch: 4/200 | new_acc: 45.91%
Share_n: 9 | Epoch: 5/200 | new_acc: 40.59%
Share_n: 9 | Epoch: 6/200 | new_acc: 50.23%
Share_n: 9 | Epoch: 7/200 | new_acc: 51.56%
Share_n: 9 | Epoch: 8/200 | new_acc: 50.02%
Share_n: 9 | Epoch: 9/200 | new_acc: 48.55%
Share_n: 9 | Epoch: 10/200 | new_acc: 48.99%
Share_n: 9 | Epoch: 11/200 | new_acc: 41.04%
Share_n: 9 | Epoch: 12/200 | new_acc: 47.77%
Share_n: 9 | Epoch: 13/200 | new_acc: 48.3%
Share_n: 9 | Epoch: 14/200 | new_acc: 52.77%
Share_n: 9 | Epoch: 15/200 | new_acc: 48.22%
Share_n: 9 | Epoch: 16/200 | new_acc: 51.6%
Share_n: 9 | Epoch: 17/200 | new_acc: 43.16%
Share_n: 9 | Epoch: 18/200 | new_acc: 50.15%
Share_n: 9 | Epoch: 19/200 | new_acc: 48.33%
Share_n: 9 | Epoch: 20/200 | new_acc: 48.65%
Share_n: 9 | Epoch: 21/200 | new_acc: 53.95%
Share_n: 9 | Epoch: 22/200 | new_acc: 41.71%
Share_n: 9 | Epoch: 23/200 | new_acc: 51.39%
Share_n: 9 | Epoch: 24/200 | new_acc: 52.3%
Share_n: 9 | Epoch: 25/200 | new_acc: 50.34%
Share_n: 9 | Epoch: 26/200 | new_acc: 41.37%
Share_n: 9 | Epoch: 27/200 | new_acc: 49.35%
Share_n: 9 | Epoch: 28/200 | new_acc: 48.9%
Share_n: 9 | Epoch: 29/200 | new_acc: 47.96%
Share_n: 9 | Epoch: 30/200 | new_acc: 47.74%
Share_n: 9 | Epoch: 31/200 | new_acc: 42.31%
Share_n: 9 | Epoch: 32/200 | new_acc: 43.76%
Share_n: 9 | Epoch: 33/200 | new_acc: 50.76%
Share_n: 9 | Epoch: 34/200 | new_acc: 42.61%
Share_n: 9 | Epoch: 35/200 | new_acc: 42.21%
Share_n: 9 | Epoch: 36/200 | new_acc: 42.79%
Share_n: 9 | Epoch: 37/200 | new_acc: 44.8%
Share_n: 9 | Epoch: 38/200 | new_acc: 45.87%
Share_n: 9 | Epoch: 39/200 | new_acc: 41.4%
Share_n: 9 | Epoch: 40/200 | new_acc: 33.99%
Share_n: 9 | Epoch: 41/200 | new_acc: 44.31%
Share_n: 9 | Epoch: 42/200 | new_acc: 41.2%
Share_n: 9 | Epoch: 43/200 | new_acc: 47.43%
Share_n: 9 | Epoch: 44/200 | new_acc: 41.17%
Share_n: 9 | Epoch: 45/200 | new_acc: 47.74%
Share_n: 9 | Epoch: 46/200 | new_acc: 41.55%
Share_n: 9 | Epoch: 47/200 | new_acc: 43.98%
Share_n: 9 | Epoch: 48/200 | new_acc: 35.58%
Share_n: 9 | Epoch: 49/200 | new_acc: 48.33%
Share_n: 9 | Epoch: 50/200 | new_acc: 45.11%
Share_n: 9 | Epoch: 51/200 | new_acc: 47.02%
Share_n: 9 | Epoch: 52/200 | new_acc: 44.12%
Share_n: 9 | Epoch: 53/200 | new_acc: 43.56%
Share_n: 9 | Epoch: 54/200 | new_acc: 43.02%
Share_n: 9 | Epoch: 55/200 | new_acc: 46.92%
Share_n: 9 | Epoch: 56/200 | new_acc: 38.65%
Share_n: 9 | Epoch: 57/200 | new_acc: 42.8%
Share_n: 9 | Epoch: 58/200 | new_acc: 37.9%
Share_n: 9 | Epoch: 59/200 | new_acc: 48.3%
Share_n: 9 | Epoch: 60/200 | new_acc: 42.77%
Share_n: 9 | Epoch: 61/200 | new_acc: 47.28%
Share_n: 9 | Epoch: 62/200 | new_acc: 44.18%
Share_n: 9 | Epoch: 63/200 | new_acc: 43.97%
Share_n: 9 | Epoch: 64/200 | new_acc: 42.58%
Share_n: 9 | Epoch: 65/200 | new_acc: 44.45%
Share_n: 9 | Epoch: 66/200 | new_acc: 43.24%
Share_n: 9 | Epoch: 67/200 | new_acc: 43.16%
Share_n: 9 | Epoch: 68/200 | new_acc: 44.29%
Share_n: 9 | Epoch: 69/200 | new_acc: 46.07%
Share_n: 9 | Epoch: 70/200 | new_acc: 48.11%
Share_n: 9 | Epoch: 71/200 | new_acc: 43.85%
Share_n: 9 | Epoch: 72/200 | new_acc: 46.63%
Share_n: 9 | Epoch: 73/200 | new_acc: 38.52%
Share_n: 9 | Epoch: 74/200 | new_acc: 39.88%
Share_n: 9 | Epoch: 75/200 | new_acc: 38.03%
Share_n: 9 | Epoch: 76/200 | new_acc: 43.45%
Share_n: 9 | Epoch: 77/200 | new_acc: 40.87%
Share_n: 9 | Epoch: 78/200 | new_acc: 40.38%
Share_n: 9 | Epoch: 79/200 | new_acc: 42.37%
Share_n: 9 | Epoch: 80/200 | new_acc: 38.75%
Share_n: 9 | Epoch: 81/200 | new_acc: 42.95%
Share_n: 9 | Epoch: 82/200 | new_acc: 44.36%
Share_n: 9 | Epoch: 83/200 | new_acc: 44.03%
Share_n: 9 | Epoch: 84/200 | new_acc: 40.99%
Share_n: 9 | Epoch: 85/200 | new_acc: 45.79%
Share_n: 9 | Epoch: 86/200 | new_acc: 43.87%
Share_n: 9 | Epoch: 87/200 | new_acc: 43.81%
Share_n: 9 | Epoch: 88/200 | new_acc: 42.54%
Share_n: 9 | Epoch: 89/200 | new_acc: 39.17%
Share_n: 9 | Epoch: 90/200 | new_acc: 43.81%
Share_n: 9 | Epoch: 91/200 | new_acc: 38.59%
Share_n: 9 | Epoch: 92/200 | new_acc: 45.97%
Share_n: 9 | Epoch: 93/200 | new_acc: 39.72%
Share_n: 9 | Epoch: 94/200 | new_acc: 44.66%
Share_n: 9 | Epoch: 95/200 | new_acc: 44.88%
Share_n: 9 | Epoch: 96/200 | new_acc: 42.64%
Share_n: 9 | Epoch: 97/200 | new_acc: 44.82%
Share_n: 9 | Epoch: 98/200 | new_acc: 40.97%
Share_n: 9 | Epoch: 99/200 | new_acc: 39.56%
Share_n: 9 | Epoch: 100/200 | new_acc: 42.18%
Share_n: 9 | Epoch: 101/200 | new_acc: 35.64%
Share_n: 9 | Epoch: 102/200 | new_acc: 41.67%
Share_n: 9 | Epoch: 103/200 | new_acc: 38.45%
Share_n: 9 | Epoch: 104/200 | new_acc: 38.81%
Share_n: 9 | Epoch: 105/200 | new_acc: 38.17%
Share_n: 9 | Epoch: 106/200 | new_acc: 43.7%
Share_n: 9 | Epoch: 107/200 | new_acc: 37.85%
Share_n: 9 | Epoch: 108/200 | new_acc: 42.31%
Share_n: 9 | Epoch: 109/200 | new_acc: 34.46%
Share_n: 9 | Epoch: 110/200 | new_acc: 39.01%
Share_n: 9 | Epoch: 111/200 | new_acc: 35.93%
Share_n: 9 | Epoch: 112/200 | new_acc: 39.97%
Share_n: 9 | Epoch: 113/200 | new_acc: 35.13%
Share_n: 9 | Epoch: 114/200 | new_acc: 35.88%
Share_n: 9 | Epoch: 115/200 | new_acc: 31.76%
Share_n: 9 | Epoch: 116/200 | new_acc: 34.45%
Share_n: 9 | Epoch: 117/200 | new_acc: 31.12%
Share_n: 9 | Epoch: 118/200 | new_acc: 37.3%
Share_n: 9 | Epoch: 119/200 | new_acc: 35.71%
Share_n: 9 | Epoch: 120/200 | new_acc: 30.38%
Share_n: 9 | Epoch: 121/200 | new_acc: 31.73%
Share_n: 9 | Epoch: 122/200 | new_acc: 36.13%
Share_n: 9 | Epoch: 123/200 | new_acc: 31.86%
Share_n: 9 | Epoch: 124/200 | new_acc: 37.9%
Share_n: 9 | Epoch: 125/200 | new_acc: 35.58%
Share_n: 9 | Epoch: 126/200 | new_acc: 31.2%
Share_n: 9 | Epoch: 127/200 | new_acc: 34.37%
Share_n: 9 | Epoch: 128/200 | new_acc: 39.56%
Share_n: 9 | Epoch: 129/200 | new_acc: 34.27%
Share_n: 9 | Epoch: 130/200 | new_acc: 38.3%
Share_n: 9 | Epoch: 131/200 | new_acc: 33.95%
Share_n: 9 | Epoch: 132/200 | new_acc: 30.55%
Share_n: 9 | Epoch: 133/200 | new_acc: 33.5%
Share_n: 9 | Epoch: 134/200 | new_acc: 37.5%
Share_n: 9 | Epoch: 135/200 | new_acc: 31.42%
Share_n: 9 | Epoch: 136/200 | new_acc: 28.6%
Share_n: 9 | Epoch: 137/200 | new_acc: 36.61%
Share_n: 9 | Epoch: 138/200 | new_acc: 26.19%
Share_n: 9 | Epoch: 139/200 | new_acc: 31.3%
Share_n: 9 | Epoch: 140/200 | new_acc: 37.02%
Share_n: 9 | Epoch: 141/200 | new_acc: 33.04%
Share_n: 9 | Epoch: 142/200 | new_acc: 30.4%
Share_n: 9 | Epoch: 143/200 | new_acc: 40.21%
Share_n: 9 | Epoch: 144/200 | new_acc: 33.53%
Share_n: 9 | Epoch: 145/200 | new_acc: 35.12%
Share_n: 9 | Epoch: 146/200 | new_acc: 38.29%
Share_n: 9 | Epoch: 147/200 | new_acc: 37.03%
Share_n: 9 | Epoch: 148/200 | new_acc: 29.95%
Share_n: 9 | Epoch: 149/200 | new_acc: 36.79%
Share_n: 9 | Epoch: 150/200 | new_acc: 31.35%
Share_n: 9 | Epoch: 151/200 | new_acc: 32.32%
Share_n: 9 | Epoch: 152/200 | new_acc: 34.75%
Share_n: 9 | Epoch: 153/200 | new_acc: 33.85%
Share_n: 9 | Epoch: 154/200 | new_acc: 34.82%
Share_n: 9 | Epoch: 155/200 | new_acc: 35.3%
Share_n: 9 | Epoch: 156/200 | new_acc: 29.81%
Share_n: 9 | Epoch: 157/200 | new_acc: 31.48%
Share_n: 9 | Epoch: 158/200 | new_acc: 22.03%
Share_n: 9 | Epoch: 159/200 | new_acc: 33.15%
Share_n: 9 | Epoch: 160/200 | new_acc: 30.47%
Share_n: 9 | Epoch: 161/200 | new_acc: 31.84%
Share_n: 9 | Epoch: 162/200 | new_acc: 34.36%
Share_n: 9 | Epoch: 163/200 | new_acc: 37.56%
Share_n: 9 | Epoch: 164/200 | new_acc: 33.71%
Share_n: 9 | Epoch: 165/200 | new_acc: 37.19%
Share_n: 9 | Epoch: 166/200 | new_acc: 30.98%
Share_n: 9 | Epoch: 167/200 | new_acc: 35.04%
Share_n: 9 | Epoch: 168/200 | new_acc: 33.5%
Share_n: 9 | Epoch: 169/200 | new_acc: 29.92%
Share_n: 9 | Epoch: 170/200 | new_acc: 29.87%
Share_n: 9 | Epoch: 171/200 | new_acc: 32.21%
Share_n: 9 | Epoch: 172/200 | new_acc: 27.59%
Share_n: 9 | Epoch: 173/200 | new_acc: 29.66%
Share_n: 9 | Epoch: 174/200 | new_acc: 27.64%
Share_n: 9 | Epoch: 175/200 | new_acc: 35.5%
Share_n: 9 | Epoch: 176/200 | new_acc: 28.93%
Share_n: 9 | Epoch: 177/200 | new_acc: 27.8%
Share_n: 9 | Epoch: 178/200 | new_acc: 32.32%
Share_n: 9 | Epoch: 179/200 | new_acc: 23.86%
Share_n: 9 | Epoch: 180/200 | new_acc: 35.31%
Share_n: 9 | Epoch: 181/200 | new_acc: 31.32%
Share_n: 9 | Epoch: 182/200 | new_acc: 31.94%
Share_n: 9 | Epoch: 183/200 | new_acc: 35.79%
Share_n: 9 | Epoch: 184/200 | new_acc: 33.83%
Share_n: 9 | Epoch: 185/200 | new_acc: 31.55%
Share_n: 9 | Epoch: 186/200 | new_acc: 32.3%
Share_n: 9 | Epoch: 187/200 | new_acc: 30.05%
Share_n: 9 | Epoch: 188/200 | new_acc: 29.59%
Share_n: 9 | Epoch: 189/200 | new_acc: 32.43%
Share_n: 9 | Epoch: 190/200 | new_acc: 29.1%
Share_n: 9 | Epoch: 191/200 | new_acc: 18.98%
Share_n: 9 | Epoch: 192/200 | new_acc: 26.67%
Share_n: 9 | Epoch: 193/200 | new_acc: 22.94%
Share_n: 9 | Epoch: 194/200 | new_acc: 25.7%
Share_n: 9 | Epoch: 195/200 | new_acc: 25.93%
Share_n: 9 | Epoch: 196/200 | new_acc: 28.95%
Share_n: 9 | Epoch: 197/200 | new_acc: 35.83%
Share_n: 9 | Epoch: 198/200 | new_acc: 30.54%
Share_n: 9 | Epoch: 199/200 | new_acc: 26.8%
Share_n: 9 | Epoch: 199/200 | B_acc: 82.37%
